"[how to sort/filter] 
[* = see notes col]
[gray = older info]","is it
aging?",aging mission?,core aging area?,multiple aging diseases?,core aging confs?,"is it
rejuvenation? (y/n)",operating status,"short summary
(intended to be objective, usually from company website, edited for brevity)",clinical stage (& link to pipeline),"pipeline image 
[if not clickable, use clin stage link]",Tx or Dx,"categories 
(map to SENS & hallmarks)","diseases/ indications 
[not comprehensive or canonicalized]",species for final products,clinical trials,targets / pathway / MoAs,modalities,regulatory category,team,geo(s),public?,ticker Y!,"ticker 
f/ G (if diff)",market cap (M),"employees, Y! publics",employees LI,year founded,tot. raised (US$M),$ curr conv rate as of Aug'24,$ curr conv rate (dynamic),raised other curr,pharma partners/ investors,deals $ value (US$M),product names,pubs/ papers,as of (last full row update),date added to list,notes,full overall score,score w/o 4p focus,aging focus score,4-prong focus score (confs wght less),operating status score,pipeline image bonus,clin. stage score,# employees score,total raised / valuation score,Tx > Dx,pharma > supplements / unreg,pubs bonus,Unnamed: 51,check for all 4 no,updated since Jul 2024?
Calico,yes,yes,yes,yes,yes,,operating,broad mission to improve health and longevity using technology to advance biological science,ph.2 trials,,Tx,big industrial R&D,"ALS, cancer, vanishing white matter",humans,10,eIF2B,,pharma,"Arthur D. Levinson, Cynthia Kenyon",SF,no,,,,,363.0,2013,"$2,500",,,,Abbvie ($1.5B + $0.5B x2?*),"$2,000",,many,2024-07-25,2019,17 PIs listed as of Jul'24. Initially funded/created within Google/Alphabet. *2021 reports of extension of AbbVie deal were worded unclearly on whether the extra $500M in 2018 was just being re-iterated or whether 2021 saw another additional $500M.,12.74,12.7,1.0,1.0,1.0,1.0,2.0,3.7,5.0,1.0,1.0,1.2,,0,1
BioAge Labs,yes,yes,yes,yes,yes,no,operating,human long-term biobanks + multiomics + AI drug platform for metabolic aging w/ APJ & NLRP3 leads,ph.2 trials,,Tx,"metabolism, inflammation","obesity, muscle atrophy, neuroinflam",humans,4,"APJ, NLRP3",drugs,pharma,"Kristen Fortney, Eric Morgen, Paul Rubin",SF,yes,BIOA,,$790,58.0,87.0,2015,$294,,,,"Novartis ($530M), Lilly*",$530,,main pubs; paper,2024-07-12,2019,Lead APJ/apelin program now listed as being for obesity (arguably not age related) but previously described as being for muscle atrophy which is age-related & APJ clearly related to core aging pathways. *Partnered with Lilly for the obesity phase 2 trial & Lilly participated in the early 2024 $170M series D round.,10.94,10.9,1.0,1.0,1.0,1.1,2.2,2.8,4.1,1.0,1.0,1.2,,0,1
Medipost,yes,yes,yes,yes,no,yes,operating,"umbilical cord blood derived Mesenchymal Stem Cells: first regulator-approved allogeneic MSC therapy (2012, in Korea for OA)","approved (Korea), ph.3 (US, Japan)",,Tx,stem cells,"OA, diabetic nephropathy",humans,24,,cell therapy,pharma,Wonil Oh,"South Korea, Boston",yes,078160.KQ,KOSDAQ:078160,$559,,34.0,2000,,0.00072,,,,,Cartistem,papers,2025-09-11,2025-09-11,"Achieved the first MSC (any stem cell?) therapy approval by a regulator (South Korea's), way back in 2012.",10.77,12.0,1.0,0.9,1.0,1.1,3.9,2.2,3.9,1.0,1.0,1.2,,0,1
Altos Labs,yes,yes,yes,yes*,yes,yes,operating,"cell rejuvenation by partial/epigenetic reprogramming; big & academic-like: aiming to be ""Bell Labs"" of bio",pre-clinical,,"Tx, Dx","epigenetic, big industrial R&D",,humans,,OSKM,,pharma,"Hal Barron, Rick Klausner, Hans Bishop, Juan Carlos I. Belmonte, Wolf Reik, Jodi Nunnari","SF; SD; 
Cambridge, UK",no,,,,,527.0,2021,"$5,560",,,,,,,,2024-07-12,2022-06-19,*Diseases not specified but mission clearly includes multiple age-related diseases. 22 PIs listed as of Jul'24. Jul'24 Rick Klausner said they extended old mice lifespan 25% w/ 1 injection of Yamanaka formulation in a 1000 mouse study. Jeff Bezos widely reputed to be an investor.,9.75,9.8,1.0,1.0,1.0,1.0,0.5,3.9,5.4,1.0,1.0,1.0,,0,1
Juvena Therapeutics,yes,yes,yes,yes,yes,yes,operating,computationally-driven platform based on human stem cell secreted proteins engineered into novel biologics,ph.2 trials,,Tx,"stem cells, cell communication","DM1, obesity, fibrosis, OA",humans,2,,biologics,pharma,"Hanadie Yousef, Jeremy O'Connell",SF,no,,,,,43.0,2017,$99,,,,Lilly ($650M),$650,,click pubs,2024-08-04,2019,,9.5,9.5,1.0,1.0,1.0,1.1,2.2,2.3,3.4,1.0,1.0,1.2,,0,1
Juvenescence,yes,yes,yes,yes,yes,,operating,"umbrella company focused on aging w/ both (ketone) supplement & pharma programs (PAI-1, GDF15, CD38, ketones, & plasmalogens, autophagy, liver & limb regen)","commercial, ph.2 trials*",,Tx,umbrella company,"fibrosis, muscle wasting in cancer, RA, HF, dementia",humans,2,"PAI-1, GDF15, CD38, plasmalogens","drugs & others, supplement","pharma, nutraceuticals","Richard Marshall, Greg Bailey, Jim Mellon","London, NYC",no,,,,,28.0,2016,$308,,,,,,,papers,2024-07-27,2019,"*Subco LyGenesis in ph.2a; in-house program in ph.1 as of Dec'24. Portfolio companies include BHB Therapeutics, BOPZ Nutrition, Chrysea, LyGenesis, Morphoceuticals, Relation Therapeutics, & Souvien Therapeutics.",9.4,9.4,1.0,1.0,1.0,1.1,2.2,2.1,3.6,1.0,1.0,1.2,,0,1
Mesoblast,yes,no,yes,yes*,no,yes,operating,allogeneic mesenchymal stem cells for multiple (esp inflammatory) diseases,FDA approved,,Tx,stem cells / allogeneic,"HF, deg-discD, Covid (& non-agingDs)",humans,42,MSCs,cell therapy,pharma,Silviu Itescu,"NYC, Melbourne",yes,MESO,,"$1,900",83.0,77.0,2004,$452,,,,,,"Revascor, Ryoncil (Remestemcel-L)",many,2024-07-12,2019,"*Focus on non-age-related conditions too, but stem-cells clearly applicable to aging diseases too & multiple unrelated aging diseases in their pipeline. With partners they've received approval for some treatments in Japan & Europe for non-aging diseases. Jul'24 BLA submitted to FDA for pediatric steroid-refractory acute graft versus host disease (SR-aGVHD), a notable regulatory step even if not primarily age-related.",8.49,14.1,1.0,0.6,1.0,1.1,4.4,2.7,4.7,1.0,1.0,1.2,,0,1
Scholar Rock,yes,no,yes,yes,no,no,operating,platform for targeting precursors of growth factors including myostatin & TGFβ,ph.3 trials,,Tx,"metabolism, inflammation, cancer","muscle atrophy, cardiometabolic, cancer, fibrosis",humans,6,"myostatin, TGFβ",monoclonal antibodies,pharma,Jay Backstrom,Boston,yes,SRRK,,"$5,651",150.0,174.0,2012,$443,,,,,,Apitegromab,papers & posters,2024-07-14,2022-06-28,"Named after scholar rocks, unusual rocks appreciated by scholars in east Asia (esp China) for their unusual & intricate shapes that resemble protein shapes.",8.55,14.2,1.0,0.6,1.0,1.1,3.3,3.2,5.4,1.0,1.0,1.2,,0,1
Gero,yes,yes,yes,yes,yes,no,operating,physics / dynamical systems based modeling of aging via deep nets AI on whole-exome sequencing & digital biomarkers licensing/partnering & AI drug development,pre-clinical,,"Tx, Dx",,"CVD, cancer, fibroticDs",humans,,,drugs,pharma,Peter Fedichev,,no,,,,,132.0,2018,$6,,,,"Roche/Chugai ($1B), Pfizer","$1,000",,papers,2024-08-15,2019,,8.28,8.3,1.0,1.0,1.0,1.1,0.6,3.0,3.3,1.0,1.0,1.2,,0,1
Celularity,yes,yes,yes,yes,no,yes,operating,"allogeneic placental-derived cell therapies (MLASCs, CAR-T, NK cells) for aging, degenerative, immune diseases, cancer; also biomaterials",ph.2 trials,,Tx,"stem cells / allogeneic, senescence","cancer, muscleDs, autoimmuneDs",humans,17,"MLASCs, CAR-T, NK cells",cell therapy,pharma,Robert Hariri,NYC,yes,CELU,,$39,255.0,172.0,2016,$400,,,,,,,posters in sub pages,2024-07-28,2019,"Added a senolytic program (based on NK cells) relatively recently (as of 2024). Also run income generating programs to bank placental stem cells and to treat burns & wounds, with projected $40M revenue, as of 2019.",8.31,9.2,1.0,0.9,1.0,1.1,2.2,3.2,2.3,1.0,1.0,1.2,,0,1
